name,color,description
type/bug,d73a4a,"缺陷、异常、报错、与预期不一致的问题"
type/feature,0e8a16,"新功能、新能力、新使用场景"
type/question,d876e3,"产品问题、使用咨询、需要解释的问题"
type/prd,1d76db,"已进入 PRD 编写或产品方案沉淀"
type/task,fbca04,"执行类任务，不一定是产品需求"
priority/P0,b60205,"最高优先级，阻塞考试或核心流程，需要立即处理"
priority/P1,d93f0b,"高优先级，影响主要功能或关键体验"
priority/P2,fbca04,"普通优先级，有价值但不紧急"
priority/P3,cfd3d7,"低优先级，建议项或后续优化"
status/new,c2e0c6,"新收到，尚未判断或认领"
status/needs-info,fef2c0,"信息不足，需要补充上下文或复现条件"
status/accepted,0e8a16,"已确认值得处理，进入后续流程"
status/in-prd,1d76db,"正在补充 PRD 或产品说明"
status/in-review,5319e7,"已提交评审，等待 reviewer 反馈"
status/rejected,d93f0b,"评审被打回，需要根据原因修改"
status/done,006b75,"已处理完成"
status/wontfix,000000,"明确不做，不等于已修复"
source/exam,bfdadc,"考试场景中产生的需求或问题"
source/user-feedback,bfd4f2,"来自用户反馈"
source/agent-scan,c5def5,"由 Agent 定时扫描发现"
source/manual,eeeeee,"人工创建或人工调整"
review/requested,5319e7,"已请求评审"
review/changes-requested,d93f0b,"评审要求修改"
review/approved,0e8a16,"评审通过"
